"nombre","descripcion","esVenta","precio","foto","esWORK","esLIFESTYLE","esMOTOR","esMOBILE"
"Hennessey Venom GT Spyder","El Hennessey Venom GT es un automóvil superdeportivo fabricado por Hennessey Performance Engineering. Fue revelado el 29 de marzo de 2010.",1,"737000","VenomGT.jpg",0,1,1,0
"Zenvo ST1","El Zenvo ST1 es un superdeportivo fabricado por el fabricante danés Zenvo Automotive. Es el primer modelo de la compañía, y está fabricado casi totalmente de forma artesanal. Alcanza una velocidad máxima de 372 km/h (limitada electrónicamente), siendo uno de los coches más rápidos legalizados para circular en carretera. Se construirán 15 unidades y se venderán a un precio de alrededor de USD$ 1.8 millones.1",1,"1800000","Zenvo.jpg",0,1,1,0
"McLaren P1","El McLaren P1 es un superdeportivo híbrido de edición limitada por el fabricante automotriz británico McLaren Automotive. El coche de concepto debutó en el Salón de París de 2012,1 y es el tan esperado sucesor del McLaren F1, utiliza energía híbrida y tecnología de la Fórmula 1. El estilo del P1 está influenciado por el McLaren MP4-12C, pero con paneles de la carrocería agregados para hacer que el coche parezca agresivo. No tiene la misma configuración de tres asientos como su predecesor, el McLaren F1. El diseño de los faros recuerda al logotipo de McLaren.",1,"958000","McLarenP1.jpg",0,1,1,0
"Koenigsegg Agera R","El Koenigsegg Agera (que quiere decir “acción” en sueco) es un automóvil superdeportivo biplaza, que es producido por el fabricante sueco Koenigsegg desde el 2011, casa que diseña automóviles exclusivos.",0,"2100000","AgeraR.jpg",0,1,1,0
"Lamborghini Reventón","El Lamborghini Reventón es un automóvil superdeportivo producido por el fabricante italiano Lamborghini entre 2007 y 2010.",1,"1100000","Lamborgini.png",0,1,1,0
"Ferrari LaFerrari ","El Ferrari LaFerrari (también conocido por su nombre de proyecto, F150 o F70) es un automóvil superdeportivo híbrido de edición limitada del fabricante italiano Ferrari.1 El automóvil y su nombre definitivo fueron revelados oficialmente en el Salón del Automóvil de Ginebra de 2013. Es el sucesor del Ferrari Enzo, y se fabricarán 499 unidades del modelo.",0,"1200000","LaFerrari.png",0,1,1,0
"Pagani Zonda Cinque Roadster","El Pagani Zonda es un automóvil superdeportivo producido por la empresa automovilística italiana Pagani desde 1999. Se producían aproximadamente 10 unidades por año. Es un automóvil con motor central trasero y con carrocería de 2 asientos cupé o descapotable. El material de construcción es fibra de carbono principalmente.",1,"1750000","pagni.png",0,1,1,0
" Aston Martin One-77","El Aston Martin One-771 2 es un automóvil superdeportivo producido por el fabricante inglés Aston Martin, que apareció por primera vez en el Salón de París de 2008. El coche no ha sido revelado, literalmente, sin embargo, como seguía siendo su mayor parte, en todo el show. La producción fue limitada a 77 unidades con entrega a partir de octubre de 2009.",1,"2100000","aston.jpg",0,1,1,0
"Bugatti Veyron","Since its launch in 2005, the Bugatti Veyron has been regarded as a supercar of superlative quality. It was a real challenge for developers to fulfil the specifications that the new supercar was supposed to meet: over 10 hp, a top speed of over 400 km/h and the ability to accelerate from 0 to 100 in under three seconds. Even experts thought it was impossible to achieve these performance specs on the road. But that was not all.",0,"2000000","bugatti.jpg",0,1,1,0
"mollete","MEDIO MOLLETE ENRIQUECIDO CON SALVADO PACK 4 UNIDADES",1,"1","mollete.png",0,1,0,0
"pan (5 unidades)","PANES ENVASE DE 5 UD.",1,"1","pan.png",0,1,0,0
"silla de bebe","La Hamaca 3 en 1 está diseñada para que el niño juegue, coma y descanse. Además, ¡se adapta a su crecimiento! El niño puede dar golpecitos a los monitos para entretenerse y estimular los sentidos. Las vibraciones y el respaldo reclinable ayudan a calmar al niño. Las sencillas transformaciones permiten usar la hamaca desde el nacimiento del niño hasta que pesa 18 kg.",0,"50","sillita.jpg",0,1,0,0
"cuna de viaje","Sácate un peso de encima con este parque portátil que pesa la mitad que otros parques tradicionales, ¡pero que ofrece las mismas funciones e incluso más! Incluye todo lo necesario para que el niño juegue y duerma en casa o fuera de ella. Es muy ligero y fácil de desmontar, montar y guardar. El moisés plano y extraíble es perfecto para que el bebé duerma cómodo toda la noche. Al retirar el moisés, se convierte en un parque amplio para que los niños ""mayores"" jueguen, descansen y duerman. Incluye detalles perfectos como un colchón suave y un práctico bolsillo para guardar pañales y mudas en casa o fuera de ella. ¡Ofrece mucho espacio para guardar los pañales! ¡El Parque 3 en 1 de Fisher-Price® será tu salvación de noche... y de día también! Características: Moisés, cambiador y parque de juego, ¡todo en uno! Pesa la mitad que otros parques portátiles. Moisés plano extraíble. Parque con colchón cómodo. Fácil de montar. Fácil de plegar (sin piezas sueltas). Práctico bolso para guardar el parque o cargarlo colgado del hombro.",0,"110","cuna.jpg",0,1,0,0
"Funda Huawei P9 Lite","Funda Folio Rosa parte Trasera Transparente Huawei P9 Lite muvit ",0,"25","fundaRosa.png",0,0,0,1
"Funda iPhone 5","Funda Cristal Transparente Trasera Apple iPhone 5 Muvit ",1,"8","fundaiPhone5.png",0,0,0,1
"Bateria Externa Negra","Power Bank Negro 2600mAh (con Cable USB - Micro USB) muvit ",0,"16","bateriaNegra.png",1,0,0,1
"Bateria Samsung","Batería Standard Samsung Galaxy Grand I9080/I9082 2100mAh Samsung ",0,"27","samsung.png",0,0,0,1
"Silla Oficina Rocada","ROCADA SILLON DIRECCION DE TELA IGNIFUGA MODELO 944.MECANISMO BASCULANTE 2PO SICIONES. AZUL. REF.RD-944/3 ",1,"485","sillaAzul.jpg",1,0,0,0
"Silla Oficina ABC","Silla estupenda",1,"350","sillaABC.jpg",1,0,0,0
"Sillón dirección POMBA","Mecanismo sincro profesional. Asiento y respaldo tapizado en tela ignifuga color según modelo. Elevación a gas mediante pistón.",0,"218","sillon.jpg",1,0,0,0
"Pizarra Blanca","No incluye la pizarra. Es el stand para moverla.",1,"456","whiteboard.jpg",1,0,0,0
